common,strat_id,psu_id,id_code,MODE_FX,AREA_X,ST,SUB_REG,WAVE,year,month,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,tot_cat,wgt_ab1,tot_len,Landing,VAR_ID,ARX_METHOD,ALT_FLAG,fl_reg,wp_catch_precal,wp_int,wp_catch
,19814498107we,10067198107251210,1006719810725011,3,1,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980089,15144.983839,15144.983839
,19814498107we,10068198107127456,1006819810712005,3,1,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980089,3433.1060716,3433.1060716
,19814498107we,10067198107259210,1006719810725010,3,1,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980089,3433.1060716,3433.1060716
,19814498107we,10067198107259210,1006719810725002,3,1,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980089,3433.1060716,3433.1060716
,19814498107we,10067198107259210,1006719810725009,3,1,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980089,3433.1060716,3433.1060716
,19814498107we,10067198107259218,1006719810725012,3,1,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980089,9128.8867585,9128.8867585
,19814498107we,10068198107127456,1006819810712002,3,1,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980089,3433.1060716,3433.1060716
,19814498107we,10068198107127456,1006819810712007,3,1,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980089,3433.1060716,3433.1060716
,19814498107we,10068198107127456,1006819810712003,3,1,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980089,5695.5834097,5695.5834097
BLUEFISH,19814498107we,10068198107127456,1006819810712001,3,1,9,4,4,1981,07,we,8835250101,0,0,5,0,5,0,0,0,1149.641375,2.4,5,2.4,1149.641375,5,19814498107we,,0,8,985.64980089,3433.1060716,3433.1060716
BLUEFISH,19814498107we,10067198107259210,1006719810725005,3,1,9,4,4,1981,07,we,8835250101,0,0,1,0,1,0,0,0,169.91034376,0.1,1,0.1,169.91034376,1,19814498107we,,0,8,985.64980089,3433.1060716,3433.1060716
BLUEFISH,19814498107we,10067198107259210,1006719810725004,3,1,9,4,4,1981,07,we,8835250101,0,0,1,0,1,0,0,0,169.91034376,0.1,1,0.1,169.91034376,1,19814498107we,,0,8,985.64980089,3433.1060716,3433.1060716
BLUEFISH,19814498107we,10068198107127456,1006819810712006,3,1,9,4,4,1981,07,we,8835250101,0,0,1,0,1,0,0,0,470,2,1,2,470,1,19814498107we,,0,8,985.64980089,3433.1060716,3433.1060716
BLUEFISH,19814498108we,1006719810809164,1006719810809014,3,1,9,4,4,1981,08,we,8835250101,0,0,26,0,26,0,0,0,4417.6689377,2.6,26,2.6,4417.6689377,26,19814498108we,,0,8,985.64980089,3433.1060716,3433.1060716
BLUEFISH,19814498107we,1006719810725910,1006719810725001,3,1,9,4,4,1981,07,we,8835250101,28.5,0,0,24,0,0,4077.8482502,2.4,0,0,28.5,2.4,4077.8482502,28.5,19814498107we,,0,8,985.64980089,9128.8867585,9128.8867585
BLUEFISH,19814498107we,100691981071813,1006919810718006,3,1,9,4,4,1981,07,we,8835250101,0,0,3,0,3,0,0,0,1530,6,3,6,1530,3,19814498107we,,0,8,985.64980089,9128.8867585,9128.8867585
BLUEFISH,19814498107we,100681981071813,1006819810718009,3,1,9,4,4,1981,07,we,8835250101,7.125,0,34,6,34,0,2940,12.6,16660,71.4,41.125,84,19600,41.125,19814498107we,,0,8,985.64980089,9128.8867585,9128.8867585
SUMMER FLOUNDER,19814498107we,10067198107259210,1006719810725008,3,1,9,4,4,1981,07,we,8857030301,1.0056640625,0,0,1,0,0,256.603125,0.2540625,0,0,1.0056640625,0.2540625,256.603125,1.0056640625,19814498107we,,0,8,985.64980089,3433.1060716,3433.1060716
SUMMER FLOUNDER,19814498107we,10068198107127456,1006819810712004,3,1,9,4,4,1981,07,we,8857030301,3.5625,0,0,3,0,0,1015,1.6,0,0,3.5625,1.6,1015,3.5625,19814498107we,,0,8,985.64980089,3433.1060716,3433.1060716
,19814498108we,100671981080811644,1006719810808015,3,5,9,4,4,1981,08,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498108we,,0,8,985.64980085,3597.9427121,3597.9427121
,19814498107we,10066198107261128,1006619810726017,3,5,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980085,5766.7861604,5766.7861604
,19814498107we,100661981071111233,1006619810711010,3,5,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980085,5766.7861604,5766.7861604
,19814498107we,10066198107119232,1006619810711001,3,5,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980085,2168.7188268,2168.7188268
,19814498107wd,10068198107311113,1006819810731010,3,5,9,4,4,1981,07,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107wd,,0,8,985.64980085,4318.5040682,4318.5040682
,19814498107we,1006819810725164,1006819810725006,3,5,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980085,3597.9427121,3597.9427121
,19814498108we,10066198108169230,1006619810816005,3,5,9,4,4,1981,08,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498108we,,0,8,985.64980085,2168.7188268,2168.7188268
,19814498108we,10066198108169230,1006619810816009,3,5,9,4,4,1981,08,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498108we,,0,8,985.64980085,2168.7188268,2168.7188268
,19814498107we,10066198107119232,1006619810711004,3,5,9,4,4,1981,07,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498107we,,0,8,985.64980085,2168.7188268,2168.7188268
,19814498208we,100671981080811644,1006719810808008,3,5,9,4,4,1981,08,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498208we,,0,8,1773.1340435,2168.7188268,2168.7188268
,19814498208we,1006619810815192,1006619810815010,3,5,9,4,4,1981,08,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814498208we,,0,8,1773.1340435,2168.7188268,2168.7188268
