"Family","Year","season","Trawls","Trawls_Efforts","Catch_Wt","Catch_Num","Rel_Wt","Rel_Num","ERel_Wt","ERel_Num","Total","Prop","propTernable","ternCatch_Wt","ternCatch_Num","ternRel_Wt","ternRel_Num","ternERel_Wt","ternERel_Num","ternTotal","ternCatch_Wt/ternTotal","ternProp","ternableTotal"
"BUTTERFISH",1987,"FALL",23,2345.35,0.1,1,0.00434782608695652,0.0434782608695652,4.26375594260985e-05,0.000426375594260984,640.3,0.00015617679212869,0.704908338261384,0.0704908338261384,0.704908338261384,0.00306481886200602,0.0306481886200602,3.00555711625721e-05,0.000300555711625721,39.0461005019806,0.00180532326967101,0.00180532326967101,0.0609809472153375
"BUTTERFISH",1998,"FALL",26,2914.6,3.2,63,0.123076923076923,2.42307692307692,0.0010979208124614,0.0216153159953338,606.3,0.00527791522348672,0.6,1.92,37.8,0.0738461538461538,1.45384615384615,0.000658752487476841,0.0129691895972003,102.106409391134,0.0188039126186991,0.0188039126186991,0.168409053919073
"BUTTERFISH",2012,"FALL",30,2128.31403471362,48.14,1774,1.60466666666667,59.1333333333333,0.02261884252738,0.833523611208394,4402.526,0.0109346316183028,0.736842105263158,35.4715789473684,1307.15789473684,1.18238596491228,43.5719298245614,0.0166665155464905,0.614175292469343,782.626056731043,0.0453237898767771,0.0453237898767771,0.177767503640193
"BUTTERFISH",2017,"SPRING",29,2049.73362969974,0.025,2,0.000862068965517241,0.0689655172413793,1.2196706751434e-05,0.000975736540114716,1728.112,1.44666549390317e-05,0.584615384615385,0.0146153846153846,1.16923076923077,0.000503978779840849,0.0403183023872679,7.13038240853062e-06,0.000570430592682449,273.409054822441,5.34561103869667e-05,5.34561103869667e-05,0.158212578132922
"BUTTERFISH",2003,"FALL",19,2111.622,95.21,2977,5.01105263157895,156.684210526316,0.0450885622521455,1.40981671909082,700.651,0.135887909958025,0.772727272727273,73.5713636363636,2300.40909090909,3.87217703349282,121.074162679426,0.0348411617402943,1.08940382838836,191.455848072545,0.384273263924988,0.384273263924988,0.27325422795735
"BUTTERFISH",2013,"SPRING",31,2186.75199413849,0.148,7,0.0047741935483871,0.225806451612903,6.76802858288038e-05,0.00320109460001099,2768.656,5.34555394386301e-05,0.647058823529412,0.0957647058823529,4.52941176470588,0.00308918406072106,0.146110056925996,4.37931261245201e-05,0.00207129650588946,254.184499805672,0.00037675273651842,0.00037675273651842,0.0918079023922338
"BUTTERFISH",1995,"FALL",16,1680,57.2,842,3.575,52.625,0.034047619047619,0.501190476190476,1195.4,0.0478500920194077,0.625,35.75,526.25,2.234375,32.890625,0.0212797619047619,0.313244047619048,182.878059820867,0.195485450988587,0.195485450988587,0.152984825013273
"BUTTERFISH",1982,"FALL",16,1673,18.9,144,1.18125,9,0.0112970711297071,0.0860729228930066,498.4,0.0379213483146068,0.40625,7.678125,58.5,0.4798828125,3.65625,0.00458943514644351,0.0349671249252839,113.515869903248,0.0676392208996351,0.0676392208996351,0.22776057364215
"BUTTERFISH",2012,"SPRING",39,2760.9005049135,0.311,14,0.00797435897435897,0.358974358974359,0.00011264440694133,0.00507080931568688,5070.086,6.13401823953282e-05,0.736842105263158,0.229157894736842,10.3157894736842,0.00587584345479082,0.264507422402159,8.30011419567695e-05,0.00373638581155875,851.711789274443,0.000269055680128671,0.000269055680128671,0.167987641486642
"BUTTERFISH",1983,"FALL",22,2278.5,12.1,231,0.55,10.5,0.00531051130129471,0.101382488479263,1160,0.0104310344827586,0.5625,6.80625,129.9375,0.309375,5.90625,0.00298716260697827,0.0570276497695853,47.7171817211949,0.142637300747727,0.142637300747727,0.0411355014837887
"BUTTERFISH",1997,"FALL",18,2052,0.3,12,0.0166666666666667,0.666666666666667,0.000146198830409357,0.00584795321637427,608.4,0.000493096646942801,0.75,0.225,9,0.0125,0.5,0.000109649122807018,0.0043859649122807,90.0166121670414,0.0024995386360739,0.0024995386360739,0.147956298762395
"BUTTERFISH",1994,"FALL",19,1981,30.5,1357,1.60526315789474,71.4210526315789,0.0153962645128723,0.685007571933367,505.6,0.0603243670886076,0.739130434782609,22.5434782608696,1003,1.18649885583524,52.7894736842105,0.0113798476834273,0.506309944472489,106.132573775635,0.212408664549365,0.212408664549365,0.209914109524594
"BUTTERFISH",2019,"FALL",22,1549.72494951423,5.988,130,0.272181818181818,5.90909090909091,0.00386391146498415,0.0838858534482197,2071.453,0.00289072453007623,0.733333333333333,4.3912,95.3333333333333,0.1996,4.33333333333333,0.00283353507432171,0.0615162925286944,433.872852974034,0.0101209374357026,0.0101209374357026,0.209453389950935
"BUTTERFISH",2009,"FALL",20,1203.09,23.912,844,1.1956,42.2,0.0198754872869029,0.701526901561812,2154.475,0.0110987595585932,0.74390243902439,17.7881951219512,627.853658536585,0.889409756097561,31.3926829268293,0.0147854234695253,0.521867573113055,429.42144369404,0.0414236302894673,0.0414236302894673,0.199316048547345
"BUTTERFISH",2013,"FALL",24,1701.55707023273,12.974,377,0.540583333333333,15.7083333333333,0.00762478098852454,0.221561772211635,1582.277,0.00819957567480283,0.647058823529412,8.39494117647059,243.941176470588,0.349789215686275,10.1642156862745,0.00493368181610411,0.143363499666352,299.080705224769,0.0280691499980298,0.0280691499980298,0.189019182624009
"BUTTERFISH",2010,"FALL",18,1073.58,12.059,306,0.669944444444444,17,0.0112325117830064,0.285027664449785,1572.45,0.00766892429012051,0.836363636363636,10.0857090909091,255.927272727273,0.560317171717172,14.2181818181818,0.00939446440033261,0.238386773903456,292.989081095038,0.0344234981495353,0.0344234981495353,0.186326484845329
