year,prey,tot_n_GOM,catchable_n_GOM,tot_rel_abundance_GOM,catchable_rel_abundance_GOM,tot_proportion_GOM,catchable_proportion_GOM,adjusted_rel_abundance_GOM,tot_n_buff,catchable_n_buff,tot_rel_abundance_buff,catchable_rel_abundance_buff,tot_proportion_buff,catchable_proportion_buff,adjusted_rel_abundance_buff,n_tern,meansize_tern,mediansize_tern,effort_tern,proprtion_tern,abundance_tern,lagabundance,lag2abundance,lag3abundance
2010,HERRING,48356,15378.683,477.36443,144.897917,0.17580292,0.18241285,332.46651,738,295.38468,141.77295,56.2754877,0.08389224,0.094492571,85.49747,99,48.27419,45.625,21271,0.43612335,0.004654224,0.013358331,0.005780632,0.004739688
2011,HERRING,85379,9628.4227,822.75519,93.470458,0.42334945,0.23617119,729.28474,13962,1275.26755,1492.6494,137.3654554,0.58121722,0.242869233,1355.28395,69,53.95652,54.75,23896,0.15898618,0.002887513,0.004654224,0.013358331,0.005780632
2012,HERRING,97294,16987.5231,680.14785,117.275862,0.23382697,0.16272298,562.87199,45103,13523.53023,2650.75088,775.4223638,0.58865831,0.597746831,1875.32852,29,50.65948,45.625,2814,0.6744186,0.010305615,0.002887513,0.004654224,0.013358331
2013,HERRING,71257,10958.1902,510.37825,77.295957,0.25428858,0.16946555,433.08229,3052,353.20729,349.01799,37.4373927,0.22907754,0.073905122,311.58059,81,54.3898,54.75,21690,0.27181208,0.00373444,0.010305615,0.002887513,0.004654224
2014,HERRING,49954,3502.6047,387.99997,27.20386,0.16057526,0.05126072,360.79611,6757,389.26576,410.79662,23.6513719,0.15239405,0.027149945,387.14525,163,70.14494,73,37255,0.278157,0.004375252,0.00373444,0.010305615,0.002887513
2015,HERRING,49340,8971.0486,358.44787,63.894512,0.1811287,0.11989291,294.55336,2666,842.36334,271.71194,82.3906382,0.15215158,0.149430855,189.3213,91,56.05357,54.75,38383,0.18383838,0.002370841,0.004375252,0.00373444,0.010305615
2016,HERRING,72523,3929.9544,508.62056,27.648944,0.21776324,0.06142259,480.97161,34784,384.46975,2857.99599,30.0290365,0.70198381,0.101979767,2827.96695,NA,NA,NA,NA,NA,NA,0.002370841,0.004375252,0.00373444
2017,HERRING,38634,2910.2153,386.37719,27.769835,0.16048419,0.05660122,358.60735,5275,207.10816,748.15504,17.4637848,0.35918562,0.075333058,730.69126,13,76.04167,73,11936,0.07065217,0.001089142,NA,0.002370841,0.004375252
2018,HERRING,14544,1742.4021,177.8865,22.897427,0.08917393,0.03318148,154.98908,2213,465.95359,238.33011,48.4182816,0.09598369,0.070517005,189.91183,40,94.05769,91.25,16031.98,0.14388489,0.002495013,0.001089142,NA,0.002370841
2019,HERRING,35059,4479.7116,280.14619,35.828337,0.16752038,0.08594616,244.31786,8505,561.44759,1036.64648,68.8406197,0.40285146,0.118892989,967.80586,176,78.58561,73,57362.93,0.16448598,0.003068183,0.002495013,0.001089142,NA
2020,HERRING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,114.45155,127.75,36212,0.15339578,0.003617585,0.003068183,0.002495013,0.001089142
