Year,prop herring+hake in diet
1999,0.69415807
2000,0.68376068
2001,0.74550129
2002,0.64788732
2005,0.68238213
2006,0.71689498
2007,0.43428571
2008,0.7537092
2009,0.67669173
2011,0.48931117
2013,0.88148148
2014,0.67472119
2015,0.72065727
2017,0.46
2018,0.43181818
2019,0.57278912
