"Year","Coast","Subregion","Common Name","Pounds","Live Pounds","Dollars","% Display"
"1993","US Atlantic Coast","North Atlantic","WRECKFISH","1000","1000","270","100%"
"2016","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"2015","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"2012","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"2008","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"2007","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"2005","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"1999","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"1998","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"1994","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"2018","US Atlantic Coast","North Atlantic","WOLFFISH, SPOTTED","*","*","*","0%"
"2018","US Atlantic Coast","North Atlantic","WOLFFISH, NORTHERN","*","*","*","0%"
"2010","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","5965.2","5965.2","6496.13","100%"
"1968","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","489400","489400","23924","100%"
"1969","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","523000","523000","24621","100%"
"1966","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","497800","497800","25562","100%"
"2006","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","32742.8","32742.8","27516.69","100%"
"1967","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","503900","503900","27615","100%"
"1965","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","604904","604904","31246","100%"
"1970","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","597900","597900","33921","100%"
"1962","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","640900","640900","35422","100%"
"1964","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","826593","826593","37512","100%"
"1963","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","767900","767900","39010","100%"
"1973","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","659700","659700","41168","100%"
"1971","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","610100","610100","41432","100%"
"1972","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","671700","671700","44007","100%"
"2009","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","73987.76","73987.76","51838.85","100%"
"1974","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","875300","875300","62343","100%"
"1975","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","804400","804400","66131","100%"
"1977","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","966900","966900","85919","100%"
"2008","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","109258.78","109258.78","94078.7","100%"
"1976","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1046600","1046600","96306","100%"
"2007","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","141291.24","141291.24","99481.34","100%"
"2004","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","262175","262175","135931.99","100%"
"2003","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","283817","283817","139431.28","100%"
"2005","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","259248","259248","142441.4","100%"
"1978","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1411500","1411500","155612","100%"
"2002","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","340494","340494","173852.83","100%"
"2000","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","441788","441788","221709.25","100%"
"1979","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1528500","1528500","222180","100%"
"2001","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","550133","550133","222317","100%"
"1999","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","567014","567014","241945.74","100%"
"1997","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","680310","680310","264068","100%"
"1980","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1983800","1983800","276381","100%"
"1981","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1647200","1647200","290010","100%"
"1990","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","871551","871551","304490","100%"
"1998","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","651824","651824","321232","100%"
"1996","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","802127","802127","330632","100%"
"1992","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1020188","1020188","337520","100%"
"1982","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1974700","1974700","351750","100%"
"1993","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1116226","1116226","355416","100%"
"1991","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1068650","1068650","378139","100%"
"1995","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1029283","1029283","393734","100%"
"1989","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1220300","1220300","405844","100%"
"1994","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1055939","1055939","410544","100%"
"1984","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","2322700","2322700","443286","100%"
"1983","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","2656600","2656600","455291","100%"
"1985","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","2169300","2169300","465611","100%"
"1988","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1543400","1543400","471669","100%"
"1986","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","2440600","2440600","690789","100%"
"1987","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1875400","1875400","707815","100%"
"2015","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","*","*","*","0%"
"2012","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","*","*","*","0%"
"2011","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","*","*","*","0%"
"1961","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","643800","643800","*","100%"
"1960","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","819300","819300","*","100%"
"1959","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1135000","1135000","*","100%"
"1958","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1032300","1032300","*","100%"
"1957","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1171400","1171400","*","100%"
"1956","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1502100","1502100","*","100%"
"1955","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1319000","1319000","*","100%"
"1954","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1578500","1578500","*","100%"
"1953","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1526800","1526800","*","100%"
"1952","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","2009800","2009800","*","100%"
"1951","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1985400","1985400","*","100%"
"1950","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","2409900","2409900","*","100%"
"1974","US Atlantic Coast","North Atlantic","WINDOWPANE","3300","3300","194","100%"
"2014","US Atlantic Coast","North Atlantic","WINDOWPANE","3129","3129","1779",">85-95%"
"2016","US Atlantic Coast","North Atlantic","WINDOWPANE","4446","4446","2848.17","100%"
"2015","US Atlantic Coast","North Atlantic","WINDOWPANE","4525","4525","2903.1",">75-85%"
"2013","US Atlantic Coast","North Atlantic","WINDOWPANE","5252.35","5252.35","3384.55","100%"
"2017","US Atlantic Coast","North Atlantic","WINDOWPANE","5829.5","5829.5","4636.11","100%"
"2010","US Atlantic Coast","North Atlantic","WINDOWPANE","10163","10163","5253.04",">95%"
"2006","US Atlantic Coast","North Atlantic","WINDOWPANE","13507","13507","6198.55","100%"
"2012","US Atlantic Coast","North Atlantic","WINDOWPANE","8084","8084","6598.01","100%"
"2011","US Atlantic Coast","North Atlantic","WINDOWPANE","11947","11947","8362.2",">95%"
"2019","US Atlantic Coast","North Atlantic","WINDOWPANE","16374.88","16374.88","8406.1232",">95%"
"2018","US Atlantic Coast","North Atlantic","WINDOWPANE","25402.33","25402.33","9286.2654",">95%"
"2002","US Atlantic Coast","North Atlantic","WINDOWPANE","66725","66725","21981.8",">95%"
"2003","US Atlantic Coast","North Atlantic","WINDOWPANE","68098","68098","23636.8","100%"
"2004","US Atlantic Coast","North Atlantic","WINDOWPANE","88753","88753","36338.95",">95%"
"2009","US Atlantic Coast","North Atlantic","WINDOWPANE","95907","95907","42875.09",">95%"
"1999","US Atlantic Coast","North Atlantic","WINDOWPANE","156843","156843","49394",">95%"
"2001","US Atlantic Coast","North Atlantic","WINDOWPANE","166952","166952","51372.05",">95%"
"2005","US Atlantic Coast","North Atlantic","WINDOWPANE","133508","133508","58722.2","100%"
"2008","US Atlantic Coast","North Atlantic","WINDOWPANE","150914","150914","67210.06","100%"
"2007","US Atlantic Coast","North Atlantic","WINDOWPANE","292304","292304","117443.54",">95%"
"2000","US Atlantic Coast","North Atlantic","WINDOWPANE","406212","406212","122376.2","100%"
"1980","US Atlantic Coast","North Atlantic","WINDOWPANE","2058200","2058200","336280","100%"
"1998","US Atlantic Coast","North Atlantic","WINDOWPANE","980886","980886","378456",">95%"
"1997","US Atlantic Coast","North Atlantic","WINDOWPANE","1052607","1052607","543165",">95%"
"1982","US Atlantic Coast","North Atlantic","WINDOWPANE","2308700","2308700","571305","100%"
"1994","US Atlantic Coast","North Atlantic","WINDOWPANE","1024759","1024759","583793",">95%"
"1981","US Atlantic Coast","North Atlantic","WINDOWPANE","2837700","2837700","635210","100%"
"1983","US Atlantic Coast","North Atlantic","WINDOWPANE","2730200","2730200","643303","100%"
"1979","US Atlantic Coast","North Atlantic","WINDOWPANE","3271100","3271100","658964","100%"
"1975","US Atlantic Coast","North Atlantic","WINDOWPANE","4366600","4366600","857792","100%"
"1978","US Atlantic Coast","North Atlantic","WINDOWPANE","4013400","4013400","859263","100%"
"1996","US Atlantic Coast","North Atlantic","WINDOWPANE","2071992","2071992","880606","100%"
"1977","US Atlantic Coast","North Atlantic","WINDOWPANE","3880800","3880800","906781","100%"
"1995","US Atlantic Coast","North Atlantic","WINDOWPANE","1665022","1665022","1021744",">95%"
"1976","US Atlantic Coast","North Atlantic","WINDOWPANE","4593500","4593500","1147488","100%"
"1984","US Atlantic Coast","North Atlantic","WINDOWPANE","3947100","3947100","1358053","100%"
"1990","US Atlantic Coast","North Atlantic","WINDOWPANE","4235403","4235403","1639693","100%"
"1993","US Atlantic Coast","North Atlantic","WINDOWPANE","3595694","3595694","2312802","100%"
"1988","US Atlantic Coast","North Atlantic","WINDOWPANE","5450200","5450200","2906601","100%"
"1992","US Atlantic Coast","North Atlantic","WINDOWPANE","4621929","4621929","2983119","100%"
"1987","US Atlantic Coast","North Atlantic","WINDOWPANE","4865500","4865500","3033506","100%"
"1989","US Atlantic Coast","North Atlantic","WINDOWPANE","5788200","5788200","3182867","100%"
"1986","US Atlantic Coast","North Atlantic","WINDOWPANE","6999700","6999700","3664156","100%"
"1991","US Atlantic Coast","North Atlantic","WINDOWPANE","8080188","8080188","4376096","100%"
"1985","US Atlantic Coast","North Atlantic","WINDOWPANE","9068800","9068800","4843168","100%"
"2018","US Atlantic Coast","North Atlantic","WHELK, WAVED","6690","6690","4443.65","100%"
"2009","US Atlantic Coast","North Atlantic","WHELK, WAVED","8089","8089","5328","100%"
"2019","US Atlantic Coast","North Atlantic","WHELK, WAVED","7226","7226","6139","100%"
"2017","US Atlantic Coast","North Atlantic","WHELK, WAVED","12253","12253","7529.4",">85-95%"
"2015","US Atlantic Coast","North Atlantic","WHELK, WAVED","24651.5","24651.5","14372.22","100%"
"2016","US Atlantic Coast","North Atlantic","WHELK, WAVED","25419","25419","14656.55","100%"
"2013","US Atlantic Coast","North Atlantic","WHELK, WAVED","26600","26600","16633.13",">85-95%"
"2012","US Atlantic Coast","North Atlantic","WHELK, WAVED","31480","31480","17971.69",">95%"
"2010","US Atlantic Coast","North Atlantic","WHELK, WAVED","32116.5","32116.5","22329.48",">95%"
"2011","US Atlantic Coast","North Atlantic","WHELK, WAVED","40459","40459","24583.64","100%"
"2014","US Atlantic Coast","North Atlantic","WHELK, WAVED","97127.2","97127.2","73556.84","100%"
"2008","US Atlantic Coast","North Atlantic","WHELK, WAVED","*","*","*","0%"
"2007","US Atlantic Coast","North Atlantic","WHELK, WAVED","*","*","*","0%"
"2006","US Atlantic Coast","North Atlantic","WHELK, WAVED","*","*","*","0%"
"2016","US Atlantic Coast","North Atlantic","WHELK, LIGHTNING","*","*","*","0%"
"2014","US Atlantic Coast","North Atlantic","WHELK, LIGHTNING","*","*","*","0%"
"2012","US Atlantic Coast","North Atlantic","WHELK, LIGHTNING","*","*","*","0%"
"2009","US Atlantic Coast","North Atlantic","WHELK, LIGHTNING","*","*","*","0%"
"2004","US Atlantic Coast","North Atlantic","WHELK, LIGHTNING","*","*","*","0%"
"1999","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","7782","24435.48","10026","100%"
"2001","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","7114","22337.96","11189","100%"
"2000","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","8709","27346.26","12156","100%"
"2003","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","15659","49169.26","27065","100%"
"2002","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","24392","76590.88","31780",">95%"
"1998","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","25627","80468.78","34030","100%"
"1997","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","29808","93597.12","37248","100%"
"1995","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","31168","97867.52","39875","100%"
"1996","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","31889","100131.46","44883","100%"
"1994","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","41037","128856.18","45868","100%"
"2004","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","14209.33","44616.45","78049.2","100%"
"2010","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","128950.84","404903.8","88454.53","100%"
"2008","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","49209.53","154516.21","103460.69","100%"
"2005","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","24752.82","77722.56","121914.6","100%"
"2009","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","56488.77","177372.88","128947.99","100%"
"2007","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","85674.4","269016.7","229312.3","100%"
"2012","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","81978.39","257409.95","267205.92","100%"
"2011","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","101863.43","319849.2","317932.81","100%"
"2016","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","84628.71","265728.12","379712.93",">95%"
"2017","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","392022.49","1230945.75","431898","100%"
"2018","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","418770.41","1314932.43","470626.21","100%"
"2019","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","149026.54","467935.81","495455.65","100%"
"2015","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","147926.99","464484.96","617034.19","100%"
"2014","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","155330.17","487731.77","627693.81","100%"
"2013","US Atlantic Coast","North Atlantic","WHELK, KNOBBED","172291.44","540990.12","691686.78","100%"
"1999","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","6640","20849.6","8168","100%"
"2001","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","4957","15564.98","10708","100%"
"2000","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","5810","18243.4","11640","100%"
"1995","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","7825","24570.5","12535","100%"
"1996","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","8377","26303.78","13110",">95%"
"1997","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","7312","22959.68","13149","100%"
"1998","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","10140","31839.6","16546","100%"
"2003","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","8373","26291.22","18013",">85-95%"
"1994","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","14100","44274","22691","100%"
"2002","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","19416","60966.24","36176",">95%"
"2004","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","8922.57","28011.99","69552.75","100%"
"2005","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","138352.99","434427.48","1457551","100%"
"2006","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","134072.23","420988.92","1716909.12","100%"
"2007","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","911181.62","2861111.02","2800511.25","100%"
"2008","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","1120880.05","3519567.81","4034198.07","100%"
"2017","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","540032.64","1695706.65","4726286.74",">95%"
"2010","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","1129216.85","3545665.16","5253418.72","100%"
"2009","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","1368608.83","4297380.79","5257429.8","100%"
"2019","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","494668.42","1553263.61","5474074.566",">95%"
"2014","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","767367.03","2409609.37","5758903.71",">95%"
"2015","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","730152.84","2292687.07","6051745.03","100%"
"2016","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","854193.3","2682172.38","6289385.62","100%"
"2018","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","632983.96","1987576.18","6563989.484","100%"
"2013","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","937888.08","2944975.93","6877479.84","100%"
"2011","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","1307741.82","4106267.06","7838487.16","100%"
"2012","US Atlantic Coast","North Atlantic","WHELK, CHANNELED","1459588.84","4582513.94","8192754.49","100%"
"2008","US Atlantic Coast","North Atlantic","WENCHMAN","*","*","*","0%"
"1966","US Atlantic Coast","North Atlantic","WEAKFISH","600","600","126","100%"
"1964","US Atlantic Coast","North Atlantic","WEAKFISH","1600","1600","238","100%"
"1967","US Atlantic Coast","North Atlantic","WEAKFISH","2000","2000","308","100%"
"1968","US Atlantic Coast","North Atlantic","WEAKFISH","2700","2700","341","100%"
"1963","US Atlantic Coast","North Atlantic","WEAKFISH","2900","2900","404","100%"
"1965","US Atlantic Coast","North Atlantic","WEAKFISH","4000","4000","508","100%"
"1962","US Atlantic Coast","North Atlantic","WEAKFISH","11500","11500","1669","100%"
"1969","US Atlantic Coast","North Atlantic","WEAKFISH","13500","13500","2484","100%"
"1970","US Atlantic Coast","North Atlantic","WEAKFISH","22100","22100","4064","100%"
"2010","US Atlantic Coast","North Atlantic","WEAKFISH","6418","6418","9847.22","100%"
"2009","US Atlantic Coast","North Atlantic","WEAKFISH","6792","6792","10108.45",">95%"
"1993","US Atlantic Coast","North Atlantic","WEAKFISH","12548","12548","11353","100%"
"1989","US Atlantic Coast","North Atlantic","WEAKFISH","13800","13800","13417","100%"
"2011","US Atlantic Coast","North Atlantic","WEAKFISH","8486","8486","14371.89","100%"
"2008","US Atlantic Coast","North Atlantic","WEAKFISH","10800","10800","17625.66","100%"
"2015","US Atlantic Coast","North Atlantic","WEAKFISH","8465.6","8465.6","19212.6","100%"
"2006","US Atlantic Coast","North Atlantic","WEAKFISH","14024","14024","22186",">75-85%"
"2019","US Atlantic Coast","North Atlantic","WEAKFISH","10887.1","10887.1","22502.854","100%"
"1971","US Atlantic Coast","North Atlantic","WEAKFISH","200200","200200","22772","100%"
"2018","US Atlantic Coast","North Atlantic","WEAKFISH","11934.25","11934.25","26211.762","100%"
"1990","US Atlantic Coast","North Atlantic","WEAKFISH","27647","27647","26349","100%"
"1972","US Atlantic Coast","North Atlantic","WEAKFISH","183500","183500","29014","100%"
"1997","US Atlantic Coast","North Atlantic","WEAKFISH","42129","42129","29730",">95%"
"1994","US Atlantic Coast","North Atlantic","WEAKFISH","29155","29155","30026","100%"
"1992","US Atlantic Coast","North Atlantic","WEAKFISH","36810","36810","31507","100%"
"1996","US Atlantic Coast","North Atlantic","WEAKFISH","50545","50545","31777","100%"
"1988","US Atlantic Coast","North Atlantic","WEAKFISH","25600","25600","33006","100%"
"2016","US Atlantic Coast","North Atlantic","WEAKFISH","15634.6","15634.6","33816.89","100%"
"2007","US Atlantic Coast","North Atlantic","WEAKFISH","22496","22496","35326.04",">95%"
"2012","US Atlantic Coast","North Atlantic","WEAKFISH","23247.2","23247.2","37717.54","100%"
"2014","US Atlantic Coast","North Atlantic","WEAKFISH","19843.1","19843.1","40177.68","100%"
"1973","US Atlantic Coast","North Atlantic","WEAKFISH","187500","187500","41616","100%"
"1995","US Atlantic Coast","North Atlantic","WEAKFISH","59656","59656","43222",">95%"
"1991","US Atlantic Coast","North Atlantic","WEAKFISH","48221","48221","45802","100%"
"2017","US Atlantic Coast","North Atlantic","WEAKFISH","23373.7","23373.7","46361","100%"
"2004","US Atlantic Coast","North Atlantic","WEAKFISH","40474","40474","54301","100%"
"1998","US Atlantic Coast","North Atlantic","WEAKFISH","91966","91966","59832","100%"
"2005","US Atlantic Coast","North Atlantic","WEAKFISH","50545","50545","62410","100%"
"2013","US Atlantic Coast","North Atlantic","WEAKFISH","41186","41186","74557.41","100%"
"1976","US Atlantic Coast","North Atlantic","WEAKFISH","352000","352000","78012","100%"
"2003","US Atlantic Coast","North Atlantic","WEAKFISH","66915","66915","79141","100%"
"1974","US Atlantic Coast","North Atlantic","WEAKFISH","521000","521000","81758","100%"
"1980","US Atlantic Coast","North Atlantic","WEAKFISH","272400","272400","93165","100%"
"1975","US Atlantic Coast","North Atlantic","WEAKFISH","493100","493100","101775","100%"
"1977","US Atlantic Coast","North Atlantic","WEAKFISH","348800","348800","106122","100%"
"1999","US Atlantic Coast","North Atlantic","WEAKFISH","150993","150993","110103","100%"
"2002","US Atlantic Coast","North Atlantic","WEAKFISH","133846","133846","112054","100%"
"1987","US Atlantic Coast","North Atlantic","WEAKFISH","109800","109800","129223","100%"
"2001","US Atlantic Coast","North Atlantic","WEAKFISH","116573","116573","132007","100%"
"1978","US Atlantic Coast","North Atlantic","WEAKFISH","295800","295800","142085","100%"
"1984","US Atlantic Coast","North Atlantic","WEAKFISH","203700","203700","144077","100%"
"1982","US Atlantic Coast","North Atlantic","WEAKFISH","225300","225300","151997","100%"
"1986","US Atlantic Coast","North Atlantic","WEAKFISH","147000","147000","152899","100%"
"1983","US Atlantic Coast","North Atlantic","WEAKFISH","213400","213400","155431","100%"
"1979","US Atlantic Coast","North Atlantic","WEAKFISH","486300","486300","164649","100%"
"1985","US Atlantic Coast","North Atlantic","WEAKFISH","194400","194400","169434","100%"
"1981","US Atlantic Coast","North Atlantic","WEAKFISH","309300","309300","179744","100%"
"2000","US Atlantic Coast","North Atlantic","WEAKFISH","197809","197809","211899","100%"
"1961","US Atlantic Coast","North Atlantic","WEAKFISH","3400","3400","*","100%"
"1960","US Atlantic Coast","North Atlantic","WEAKFISH","3000","3000","*","100%"
"1959","US Atlantic Coast","North Atlantic","WEAKFISH","2500","2500","*","100%"
"1958","US Atlantic Coast","North Atlantic","WEAKFISH","11600","11600","*","100%"
"1957","US Atlantic Coast","North Atlantic","WEAKFISH","45200","45200","*","100%"
"1956","US Atlantic Coast","North Atlantic","WEAKFISH","22100","22100","*","100%"
"1955","US Atlantic Coast","North Atlantic","WEAKFISH","12100","12100","*","100%"
"1954","US Atlantic Coast","North Atlantic","WEAKFISH","11400","11400","*","100%"
"1953","US Atlantic Coast","North Atlantic","WEAKFISH","23800","23800","*","100%"
"1952","US Atlantic Coast","North Atlantic","WEAKFISH","5600","5600","*","100%"
"1951","US Atlantic Coast","North Atlantic","WEAKFISH","2700","2700","*","100%"
"1950","US Atlantic Coast","North Atlantic","WEAKFISH","5300","5300","*","100%"
"1991","US Atlantic Coast","North Atlantic","WAHOO","103","103","53","100%"
"1997","US Atlantic Coast","North Atlantic","WAHOO","41","41","103","<=75%"
"1996","US Atlantic Coast","North Atlantic","WAHOO","157","157","235","100%"
"2002","US Atlantic Coast","North Atlantic","WAHOO","299","299","611","<=75%"
"2003","US Atlantic Coast","North Atlantic","WAHOO","382","382","705",">75-85%"
"1986","US Atlantic Coast","North Atlantic","WAHOO","1200","1200","720","100%"
"2007","US Atlantic Coast","North Atlantic","WAHOO","405.32","405.32","912.3","<=75%"
"2008","US Atlantic Coast","North Atlantic","WAHOO","625","625","1240.9",">95%"
"2009","US Atlantic Coast","North Atlantic","WAHOO","502","502","1245.14","<=75%"
"2001","US Atlantic Coast","North Atlantic","WAHOO","712","712","1372","100%"
"2010","US Atlantic Coast","North Atlantic","WAHOO","662","662","1672.8","100%"
"2005","US Atlantic Coast","North Atlantic","WAHOO","835","835","1812","100%"
"1992","US Atlantic Coast","North Atlantic","WAHOO","1102","1102","2129","100%"
"2018","US Atlantic Coast","North Atlantic","WAHOO","671","671","2139.75","100%"
"2004","US Atlantic Coast","North Atlantic","WAHOO","1204","1204","2401","100%"
"1994","US Atlantic Coast","North Atlantic","WAHOO","16077","16077","2487","100%"
"2016","US Atlantic Coast","North Atlantic","WAHOO","766","766","2630.55",">85-95%"
"2017","US Atlantic Coast","North Atlantic","WAHOO","1031","1031","3555.6","100%"
"2015","US Atlantic Coast","North Atlantic","WAHOO","1412","1412","4511",">85-95%"
"2019","US Atlantic Coast","North Atlantic","WAHOO","1557","1557","4546.8",">95%"
"2014","US Atlantic Coast","North Atlantic","WAHOO","1848.55","1848.55","5994.26","100%"
"2011","US Atlantic Coast","North Atlantic","WAHOO","1942","1942","6047.3",">95%"
"2012","US Atlantic Coast","North Atlantic","WAHOO","3033.35","3033.35","9719.85",">85-95%"
"2013","US Atlantic Coast","North Atlantic","WAHOO","2956.15","2956.15","10643.45","100%"
"2000","US Atlantic Coast","North Atlantic","WAHOO","*","*","*","0%"
"1999","US Atlantic Coast","North Atlantic","WAHOO","*","*","*","0%"
"1998","US Atlantic Coast","North Atlantic","WAHOO","*","*","*","0%"
"1995","US Atlantic Coast","North Atlantic","WAHOO","*","*","*","0%"
"1979","US Atlantic Coast","North Atlantic","URCHINS, SEA, STRONGYLOCENTROTUS (GENUS)","3000","3000","306","100%"
"1981","US Atlantic Coast","North Atlantic","URCHINS, SEA, STRONGYLOCENTROTUS (GENUS)","3800","3800","433","100%"
"1978","US Atlantic Coast","North Atlantic","URCHINS, SEA, STRONGYLOCENTROTUS (GENUS)","8000","8000","859","100%"
"1976","US Atlantic Coast","North Atlantic","URCHINS, SEA, STRONGYLOCENTROTUS (GENUS)","36100","36100","2234","100%"
"1980","US Atlantic Coast","North Atlantic","URCHINS, SEA, STRONGYLOCENTROTUS (GENUS)","33300","33300","2391","100%"
"1963","US Atlantic Coast","North Atlantic","URCHINS, SEA, STRONGYLOCENTROTUS (GENUS)","84500","84500","2646","100%"
"1962","US Atlantic Coast","North Atlantic","URCHINS, SEA, STRONGYLOCENTROTUS (GENUS)","73600","73600","2660","100%"
